100,5325.95,191.047
125,2355.59,88.5068
150,1215.47,49.5956
175,693.104,30.2898
200,424.166,20.1252
225,273.466,13.7917
250,183.689,9.91401
275,127.471,7.29273
300,90.8167,5.48175
325,66.1949,4.21492
350,49.1579,3.27086
375,37.1052,2.59994
400,28.423,2.08121
425,22.0262,1.67896
450,17.2696,1.36074
475,13.6457,1.11821
500,10.8865,0.923598
525,8.761,0.768185
550,7.08913,0.641762
575,5.76587,0.535553
600,4.73741,0.454855
625,3.89352,0.384183
650,3.22106,0.320722
675,2.68671,0.275617
700,2.23385,0.233891
725,1.87634,0.199351
750,1.58082,0.170376
775,1.3232,0.145489
800,1.12392,0.130506
825,0.94237,0.106692
850,0.810952,0.0964175
875,0.684339,0.082671
900,0.58695,0.0707011
925,0.501398,0.0589374
950,0.431228,0.0544187
975,0.371456,0.0516039
1000,0.311324,0.041882
1025,0.266049,0.0330277
1050,0.236496,0.0298371
1075,0.20709,0.0290054
1100,0.17535,0.0253133
1125,0.155963,0.0236533
1150,0.130143,0.0152935
1175,0.116732,0.0184681
1200,0.0957498,0.0168516
1225,0.0859254,0.0158738
1250,0.0803461,0.0105191
1275,0.0703178,0.00972415
1300,0.0502516,0.00687453
1325,0.050112,0.00682866
1350,0.0311342,0.00500265
1375,0.0299707,0.00393035
1400,0.020026,0.00277541
1425,0.02,0.00291342
1450,0.0200264,0.00295792
1475,0.0200743,0.00319031
1500,0.0100552,0.00183217
